"Selitveno gibanje prebivalstva po: STATISTIČNA REGIJA, LETO , MERITVE"

" ";" ";"Priseljeni iz tujine - Skupaj";"Priseljeni iz tujine - Moški";"Priseljeni iz tujine - Ženske"
" ";"2011";365;207;158
" ";"2012";394;216;178
" ";"2013";407;239;168
" ";"2014";393;256;137
"Goriška"
" ";"1995";98;50;48
" ";"1996";63;33;30
" ";"1997";46;14;32
" ";"1998";264;188;76
" ";"1999";505;423;82
" ";"2000";446;330;116
" ";"2001";449;308;141
" ";"2002";669;475;194
" ";"2003";682;461;221
" ";"2004";712;540;172
" ";"2005";956;741;215
" ";"2006";1326;1083;243
" ";"2007";2057;1700;357
" ";"2008";1916;1517;399
" ";"2009";1990;1548;442
" ";"2010";968;587;381
" ";"2011";775;447;328
" ";"2012";821;456;365
" ";"2013";699;405;294
" ";"2014";660;400;260
"Obalno-kraška"
" ";"1995";194;111;83
" ";"1996";121;63;58
" ";"1997";76;44;32
" ";"1998";558;312;246
" ";"1999";534;367;167
" ";"2000";581;389;192
" ";"2001";751;473;278
" ";"2002";975;702;273
" ";"2003";973;651;322
" ";"2004";909;656;253
" ";"2005";1514;1110;404
" ";"2006";1953;1461;492
" ";"2007";2733;2061;672
" ";"2008";3107;2219;888
" ";"2009";3030;2196;834
" ";"2010";1664;1006;658
" ";"2011";1462;801;661
" ";"2012";1626;1015;611
" ";"2013";1356;778;578
" ";"2014";1366;793;573
