"Selitveno gibanje prebivalstva po: STATISTIÈNA REGIJA, LETO , MERITVE"

" ";" ";"Priseljeni iz tujine - Skupaj";"Priseljeni iz tujine - Moški";"Priseljeni iz tujine - Ženske";"Odseljeni v tujino - Skupaj";"Odseljeni v tujino - Moški";"Odseljeni v tujino - Ženske";"Priseljeni iz tujine na 1000 prebivalcev";"Odseljeni v tujino na 1000 prebivalcev"
" ";"2000";387;268;119;177;132;45;5.5;2.5
" ";"2001";302;190;112;202;134;68;4.3;2.9
" ";"2002";620;413;207;468;309;159;8.8;6.7
" ";"2003";607;415;192;337;213;124;8.6;4.8
" ";"2004";485;370;115;408;311;97;6.9;5.8
" ";"2005";721;528;193;485;389;96;10.3;6.9
" ";"2006";934;720;214;705;530;175;13.3;10.1
" ";"2007";959;762;197;607;402;205;13.7;8.6
" ";"2008";1092;895;197;381;253;128;15.6;5.5
" ";"2009";944;733;211;685;550;135;13.5;9.8
" ";"2010";520;343;177;540;420;120;7.4;7.7
" ";"2011";402;241;161;382;261;121;5.7;5.5
" ";"2012";500;301;199;429;258;171;7.1;6.1
" ";"2013";425;274;151;370;205;165;6.1;5.3
" ";"2014";388;223;165;427;274;153;5.5;6.1
"Jugovzhodna Slovenija"
" ";"1995";167;76;91;49;27;22;1.2;0.4
" ";"1996";100;53;47;65;26;39;0.7;0.5
" ";"1997";75;35;40;34;14;20;0.5;0.2
" ";"1998";251;152;99;344;270;74;1.8;2.5
" ";"1999";277;200;77;164;118;46;2.0;1.2
" ";"2000";282;220;62;212;141;71;2.0;1.5
" ";"2001";427;311;116;385;292;93;3.1;2.8
" ";"2002";572;425;147;445;292;153;4.1;3.2
" ";"2003";599;423;176;403;259;144;4.3;2.9
" ";"2004";635;516;119;487;399;88;4.6;3.5
" ";"2005";917;737;180;437;371;66;6.6;3.1
" ";"2006";1257;1051;206;852;735;117;9.0;6.1
" ";"2007";2073;1822;251;1066;883;183;14.7;7.6
" ";"2008";2059;1712;347;612;463;149;14.7;4.4
" ";"2009";1986;1606;380;1258;1030;228;14.0;8.9
" ";"2010";896;582;314;854;654;200;6.3;6.0
" ";"2011";811;499;312;657;470;187;5.7;4.6
" ";"2012";729;444;285;789;517;272;5.1;5.5
" ";"2013";662;411;251;661;421;240;4.6;4.6
" ";"2014";694;452;242;676;397;279;4.9;4.8
"Osrednjeslovenska"
" ";"1995";578;312;266;206;92;114;1.2;0.4
" ";"1996";398;217;181;230;128;102;0.8;0.5
" ";"1997";277;143;134;189;104;85;0.6;0.4
" ";"1998";1198;849;349;1957;1549;408;2.5;4.0
" ";"1999";1553;1281;272;779;578;201;3.2;1.6
" ";"2000";2084;1544;540;1038;633;405;4.3;2.1
" ";"2001";2633;1866;767;1352;1086;266;5.4;2.8
" ";"2002";2434;1705;729;1941;1287;654;4.9;3.9
" ";"2003";2548;1759;789;1453;871;582;5.2;2.9
" ";"2004";3265;2376;889;2245;1639;606;6.6;4.5
" ";"2005";4530;3266;1264;2376;1894;482;9.1;4.8
" ";"2006";6030;4760;1270;4027;3191;836;12.0;8.0
" ";"2007";8661;6913;1748;4780;3494;1286;17.1;9.4
" ";"2008";9637;7290;2347;2688;1882;806;18.7;5.2
" ";"2009";9990;7380;2610;5228;4029;1199;19.0;9.9
