"Meddržavne selitve po: SELITVE, LETO, STAROSTNE SKUPINE, DRŽAVLJANSTVO"
", SPOL"

" ";" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"1995"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Državljani Republike Slovenije";81;41;40
" ";" ";" ";"Tuji državljani";220;129;91
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";255;143;112
" ";" ";" ";"Državljani Republike Slovenije";96;47;49
" ";" ";" ";"Tuji državljani";159;96;63
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";140;60;80
" ";" ";" ";"Državljani Republike Slovenije";71;31;40
" ";" ";" ";"Tuji državljani";69;29;40
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";86;45;41
" ";" ";" ";"Državljani Republike Slovenije";49;26;23
" ";" ";" ";"Tuji državljani";37;19;18
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";32;16;16
" ";" ";" ";"Državljani Republike Slovenije";20;10;10
" ";" ";" ";"Tuji državljani";12;6;6
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";34;14;20
" ";" ";" ";"Državljani Republike Slovenije";16;8;8
" ";" ";" ";"Tuji državljani";18;6;12
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";27;8;19
" ";" ";" ";"Državljani Republike Slovenije";15;5;10
" ";" ";" ";"Tuji državljani";12;3;9
" ";"1997"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";7889;5388;2501
" ";" ";" ";"Državljani Republike Slovenije";1093;534;559
" ";" ";" ";"Tuji državljani";6796;4854;1942
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";391;209;182
" ";" ";" ";"Državljani Republike Slovenije";73;39;34
" ";" ";" ";"Tuji državljani";318;170;148
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";306;154;152
" ";" ";" ";"Državljani Republike Slovenije";79;38;41
" ";" ";" ";"Tuji državljani";227;116;111
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";232;114;118
" ";" ";" ";"Državljani Republike Slovenije";66;32;34
" ";" ";" ";"Tuji državljani";166;82;84
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";619;433;186
" ";" ";" ";"Državljani Republike Slovenije";68;30;38
" ";" ";" ";"Tuji državljani";551;403;148
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1524;1141;383
" ";" ";" ";"Državljani Republike Slovenije";84;48;36
" ";" ";" ";"Tuji državljani";1440;1093;347
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1285;900;385
" ";" ";" ";"Državljani Republike Slovenije";94;36;58
" ";" ";" ";"Tuji državljani";1191;864;327
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";955;701;254
" ";" ";" ";"Državljani Republike Slovenije";107;61;46
" ";" ";" ";"Tuji državljani";848;640;208
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";735;555;180
" ";" ";" ";"Državljani Republike Slovenije";78;45;33
" ";" ";" ";"Tuji državljani";657;510;147
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";593;432;161
" ";" ";" ";"Državljani Republike Slovenije";66;28;38
" ";" ";" ";"Tuji državljani";527;404;123
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";401;276;125
" ";" ";" ";"Državljani Republike Slovenije";76;37;39
" ";" ";" ";"Tuji državljani";325;239;86
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";239;153;86
" ";" ";" ";"Državljani Republike Slovenije";56;26;30
" ";" ";" ";"Tuji državljani";183;127;56
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";191;118;73
" ";" ";" ";"Državljani Republike Slovenije";66;31;35
" ";" ";" ";"Tuji državljani";125;87;38
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";168;93;75
" ";" ";" ";"Državljani Republike Slovenije";75;41;34
" ";" ";" ";"Tuji državljani";93;52;41
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";98;50;48
" ";" ";" ";"Državljani Republike Slovenije";43;22;21
" ";" ";" ";"Tuji državljani";55;28;27
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";83;31;52
" ";" ";" ";"Državljani Republike Slovenije";35;8;27
" ";" ";" ";"Tuji državljani";48;23;25
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";36;15;21
" ";" ";" ";"Državljani Republike Slovenije";14;6;8
" ";" ";" ";"Tuji državljani";22;9;13
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";21;8;13
" ";" ";" ";"Državljani Republike Slovenije";9;4;5
" ";" ";" ";"Tuji državljani";12;4;8
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";12;5;7
" ";" ";" ";"Državljani Republike Slovenije";4;2;2
" ";" ";" ";"Tuji državljani";8;3;5
" ";"1998"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";4603;2817;1786
" ";" ";" ";"Državljani Republike Slovenije";857;446;411
" ";" ";" ";"Tuji državljani";3746;2371;1375
" ";" ";"0-4 let"
