"Meddržavne selitve po: SELITVE, LETO, STAROSTNE SKUPINE, DRŽAVLJANSTVO"
", SPOL"

" ";" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"1995"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1581;1034;547
" ";" ";" ";"Državljani Republike Slovenije";114;64;50
" ";" ";" ";"Tuji državljani";1467;970;497
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1510;1040;470
" ";" ";" ";"Državljani Republike Slovenije";137;66;71
" ";" ";" ";"Tuji državljani";1373;974;399
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1153;826;327
" ";" ";" ";"Državljani Republike Slovenije";124;69;55
" ";" ";" ";"Tuji državljani";1029;757;272
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";963;737;226
" ";" ";" ";"Državljani Republike Slovenije";113;66;47
" ";" ";" ";"Tuji državljani";850;671;179
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";868;689;179
" ";" ";" ";"Državljani Republike Slovenije";100;64;36
" ";" ";" ";"Tuji državljani";768;625;143
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";651;493;158
" ";" ";" ";"Državljani Republike Slovenije";101;61;40
" ";" ";" ";"Tuji državljani";550;432;118
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";438;302;136
" ";" ";" ";"Državljani Republike Slovenije";113;61;52
" ";" ";" ";"Tuji državljani";325;241;84
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";263;177;86
" ";" ";" ";"Državljani Republike Slovenije";89;55;34
" ";" ";" ";"Tuji državljani";174;122;52
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";209;123;86
" ";" ";" ";"Državljani Republike Slovenije";119;69;50
" ";" ";" ";"Tuji državljani";90;54;36
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";125;69;56
" ";" ";" ";"Državljani Republike Slovenije";69;38;31
" ";" ";" ";"Tuji državljani";56;31;25
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";78;33;45
" ";" ";" ";"Državljani Republike Slovenije";34;17;17
" ";" ";" ";"Tuji državljani";44;16;28
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";69;27;42
" ";" ";" ";"Državljani Republike Slovenije";32;15;17
" ";" ";" ";"Tuji državljani";37;12;25
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";27;10;17
" ";" ";" ";"Državljani Republike Slovenije";14;5;9
" ";" ";" ";"Tuji državljani";13;5;8
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";20;5;15
" ";" ";" ";"Državljani Republike Slovenije";6;2;4
" ";" ";" ";"Tuji državljani";14;3;11
" ";"2003"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";9279;6229;3050
" ";" ";" ";"Državljani Republike Slovenije";1268;694;574
" ";" ";" ";"Tuji državljani";8011;5535;2476
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";344;180;164
" ";" ";" ";"Državljani Republike Slovenije";121;64;57
" ";" ";" ";"Tuji državljani";223;116;107
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";230;109;121
" ";" ";" ";"Državljani Republike Slovenije";47;22;25
" ";" ";" ";"Tuji državljani";183;87;96
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";194;94;100
" ";" ";" ";"Državljani Republike Slovenije";38;17;21
" ";" ";" ";"Tuji državljani";156;77;79
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";494;313;181
" ";" ";" ";"Državljani Republike Slovenije";47;27;20
" ";" ";" ";"Tuji državljani";447;286;161
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1625;1089;536
" ";" ";" ";"Državljani Republike Slovenije";93;60;33
" ";" ";" ";"Tuji državljani";1532;1029;503
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1520;1050;470
" ";" ";" ";"Državljani Republike Slovenije";116;61;55
" ";" ";" ";"Tuji državljani";1404;989;415
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1201;875;326
" ";" ";" ";"Državljani Republike Slovenije";122;64;58
" ";" ";" ";"Tuji državljani";1079;811;268
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";988;742;246
" ";" ";" ";"Državljani Republike Slovenije";89;52;37
" ";" ";" ";"Tuji državljani";899;690;209
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";891;668;223
" ";" ";" ";"Državljani Republike Slovenije";96;59;37
" ";" ";" ";"Tuji državljani";795;609;186
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";604;442;162
" ";" ";" ";"Državljani Republike Slovenije";80;46;34
" ";" ";" ";"Tuji državljani";524;396;128
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";392;237;155
" ";" ";" ";"Državljani Republike Slovenije";89;48;41
" ";" ";" ";"Tuji državljani";303;189;114
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";276;176;100
" ";" ";" ";"Državljani Republike Slovenije";86;48;38
" ";" ";" ";"Tuji državljani";190;128;62
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";199;116;83
" ";" ";" ";"Državljani Republike Slovenije";96;58;38
" ";" ";" ";"Tuji državljani";103;58;45
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";130;69;61
" ";" ";" ";"Državljani Republike Slovenije";66;33;33
" ";" ";" ";"Tuji državljani";64;36;28
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";86;38;48
" ";" ";" ";"Državljani Republike Slovenije";44;25;19
" ";" ";" ";"Tuji državljani";42;13;29
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";53;16;37
" ";" ";" ";"Državljani Republike Slovenije";23;8;15
" ";" ";" ";"Tuji državljani";30;8;22
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";30;11;19
" ";" ";" ";"Državljani Republike Slovenije";11;2;9
" ";" ";" ";"Tuji državljani";19;9;10
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";22;4;18
" ";" ";" ";"Državljani Republike Slovenije";4;0;4
" ";" ";" ";"Tuji državljani";18;4;14
" ";"2004"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";10171;7485;2686
" ";" ";" ";"Državljani Republike Slovenije";1574;936;638
" ";" ";" ";"Tuji državljani";8597;6549;2048
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";322;169;153
" ";" ";" ";"Državljani Republike Slovenije";97;50;47
" ";" ";" ";"Tuji državljani";225;119;106
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";230;118;112
" ";" ";" ";"Državljani Republike Slovenije";64;41;23
" ";" ";" ";"Tuji državljani";166;77;89
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";207;109;98
" ";" ";" ";"Državljani Republike Slovenije";64;34;30
" ";" ";" ";"Tuji državljani";143;75;68
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";654;453;201
" ";" ";" ";"Državljani Republike Slovenije";66;39;27
" ";" ";" ";"Tuji državljani";588;414;174
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1747;1270;477
" ";" ";" ";"Državljani Republike Slovenije";110;68;42
" ";" ";" ";"Tuji državljani";1637;1202;435
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1669;1226;443
" ";" ";" ";"Državljani Republike Slovenije";156;106;50
" ";" ";" ";"Tuji državljani";1513;1120;393
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1320;1055;265
" ";" ";" ";"Državljani Republike Slovenije";151;100;51
" ";" ";" ";"Tuji državljani";1169;955;214
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1147;928;219
" ";" ";" ";"Državljani Republike Slovenije";125;73;52
" ";" ";" ";"Tuji državljani";1022;855;167
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1008;822;186
" ";" ";" ";"Državljani Republike Slovenije";119;60;59
" ";" ";" ";"Tuji državljani";889;762;127
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";695;572;123
" ";" ";" ";"Državljani Republike Slovenije";121;78;43
" ";" ";" ";"Tuji državljani";574;494;80
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";452;346;106
" ";" ";" ";"Državljani Republike Slovenije";112;60;52
" ";" ";" ";"Tuji državljani";340;286;54
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";222;141;81
" ";" ";" ";"Državljani Republike Slovenije";96;51;45
" ";" ";" ";"Tuji državljani";126;90;36
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";219;132;87
" ";" ";" ";"Državljani Republike Slovenije";129;77;52
" ";" ";" ";"Tuji državljani";90;55;35
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";136;76;60
" ";" ";" ";"Državljani Republike Slovenije";79;52;27
" ";" ";" ";"Tuji državljani";57;24;33
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";73;36;37
" ";" ";" ";"Državljani Republike Slovenije";42;25;17
" ";" ";" ";"Tuji državljani";31;11;20
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";41;25;16
" ";" ";" ";"Državljani Republike Slovenije";24;16;8
" ";" ";" ";"Tuji državljani";17;9;8
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";20;5;15
" ";" ";" ";"Državljani Republike Slovenije";12;4;8
" ";" ";" ";"Tuji državljani";8;1;7
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";9;2;7
" ";" ";" ";"Državljani Republike Slovenije";7;2;5
" ";" ";" ";"Tuji državljani";2;0;2
" ";"2005"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";15041;11130;3911
" ";" ";" ";"Državljani Republike Slovenije";1747;1037;710
" ";" ";" ";"Tuji državljani";13294;10093;3201
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";638;345;293
" ";" ";" ";"Državljani Republike Slovenije";313;162;151
" ";" ";" ";"Tuji državljani";325;183;142
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";325;179;146
" ";" ";" ";"Državljani Republike Slovenije";89;57;32
" ";" ";" ";"Tuji državljani";236;122;114
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";322;175;147
" ";" ";" ";"Državljani Republike Slovenije";48;23;25
" ";" ";" ";"Tuji državljani";274;152;122
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";959;654;305
" ";" ";" ";"Državljani Republike Slovenije";73;42;31
" ";" ";" ";"Tuji državljani";886;612;274
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";2688;2030;658
" ";" ";" ";"Državljani Republike Slovenije";125;74;51
" ";" ";" ";"Tuji državljani";2563;1956;607
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";2490;1880;610
" ";" ";" ";"Državljani Republike Slovenije";168;109;59
" ";" ";" ";"Tuji državljani";2322;1771;551
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1972;1524;448
" ";" ";" ";"Državljani Republike Slovenije";146;90;56
" ";" ";" ";"Tuji državljani";1826;1434;392
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1608;1317;291
" ";" ";" ";"Državljani Republike Slovenije";101;70;31
" ";" ";" ";"Tuji državljani";1507;1247;260
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1366;1105;261
" ";" ";" ";"Državljani Republike Slovenije";119;79;40
" ";" ";" ";"Tuji državljani";1247;1026;221
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";992;830;162
" ";" ";" ";"Državljani Republike Slovenije";87;61;26
" ";" ";" ";"Tuji državljani";905;769;136
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";693;512;181
" ";" ";" ";"Državljani Republike Slovenije";110;60;50
" ";" ";" ";"Tuji državljani";583;452;131
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";373;244;129
" ";" ";" ";"Državljani Republike Slovenije";99;50;49
" ";" ";" ";"Tuji državljani";274;194;80
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";238;145;93
" ";" ";" ";"Državljani Republike Slovenije";108;67;41
" ";" ";" ";"Tuji državljani";130;78;52
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";149;90;59
" ";" ";" ";"Državljani Republike Slovenije";65;49;16
" ";" ";" ";"Tuji državljani";84;41;43
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";102;53;49
" ";" ";" ";"Državljani Republike Slovenije";50;27;23
" ";" ";" ";"Tuji državljani";52;26;26
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";73;31;42
" ";" ";" ";"Državljani Republike Slovenije";27;14;13
" ";" ";" ";"Tuji državljani";46;17;29
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";32;12;20
" ";" ";" ";"Državljani Republike Slovenije";12;2;10
" ";" ";" ";"Tuji državljani";20;10;10
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";21;4;17
" ";" ";" ";"Državljani Republike Slovenije";7;1;6
" ";" ";" ";"Tuji državljani";14;3;11
" ";"2006"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";20016;15750;4266
" ";" ";" ";"Državljani Republike Slovenije";1765;1025;740
" ";" ";" ";"Tuji državljani";18251;14725;3526
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";851;464;387
" ";" ";" ";"Državljani Republike Slovenije";483;260;223
" ";" ";" ";"Tuji državljani";368;204;164
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";366;190;176
" ";" ";" ";"Državljani Republike Slovenije";74;36;38
" ";" ";" ";"Tuji državljani";292;154;138
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";364;198;166
" ";" ";" ";"Državljani Republike Slovenije";38;22;16
" ";" ";" ";"Tuji državljani";326;176;150
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";1216;900;316
" ";" ";" ";"Državljani Republike Slovenije";66;43;23
" ";" ";" ";"Tuji državljani";1150;857;293
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";3787;3140;647
" ";" ";" ";"Državljani Republike Slovenije";101;55;46
" ";" ";" ";"Tuji državljani";3686;3085;601
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";3314;2723;591
" ";" ";" ";"Državljani Republike Slovenije";153;94;59
" ";" ";" ";"Tuji državljani";3161;2629;532
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";2575;2098;477
" ";" ";" ";"Državljani Republike Slovenije";129;77;52
" ";" ";" ";"Tuji državljani";2446;2021;425
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";2232;1864;368
" ";" ";" ";"Državljani Republike Slovenije";93;65;28
" ";" ";" ";"Tuji državljani";2139;1799;340
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1888;1594;294
" ";" ";" ";"Državljani Republike Slovenije";99;62;37
" ";" ";" ";"Tuji državljani";1789;1532;257
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";1471;1254;217
" ";" ";" ";"Državljani Republike Slovenije";91;59;32
" ";" ";" ";"Tuji državljani";1380;1195;185
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";875;695;180
" ";" ";" ";"Državljani Republike Slovenije";111;67;44
" ";" ";" ";"Tuji državljani";764;628;136
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";444;292;152
" ";" ";" ";"Državljani Republike Slovenije";95;51;44
" ";" ";" ";"Tuji državljani";349;241;108
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";234;138;96
" ";" ";" ";"Državljani Republike Slovenije";104;59;45
" ";" ";" ";"Tuji državljani";130;79;51
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";169;87;82
" ";" ";" ";"Državljani Republike Slovenije";57;39;18
" ";" ";" ";"Tuji državljani";112;48;64
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";109;58;51
" ";" ";" ";"Državljani Republike Slovenije";33;17;16
" ";" ";" ";"Tuji državljani";76;41;35
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";71;32;39
" ";" ";" ";"Državljani Republike Slovenije";23;11;12
" ";" ";" ";"Tuji državljani";48;21;27
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";36;18;18
" ";" ";" ";"Državljani Republike Slovenije";11;6;5
" ";" ";" ";"Tuji državljani";25;12;13
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";14;5;9
" ";" ";" ";"Državljani Republike Slovenije";4;2;2
" ";" ";" ";"Tuji državljani";10;3;7
" ";"2007"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";29193;23659;5534
" ";" ";" ";"Državljani Republike Slovenije";1689;920;769
" ";" ";" ";"Tuji državljani";27504;22739;4765
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";800;410;390
" ";" ";" ";"Državljani Republike Slovenije";234;125;109
" ";" ";" ";"Tuji državljani";566;285;281
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";523;276;247
" ";" ";" ";"Državljani Republike Slovenije";50;20;30
" ";" ";" ";"Tuji državljani";473;256;217
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";524;262;262
" ";" ";" ";"Državljani Republike Slovenije";57;26;31
" ";" ";" ";"Tuji državljani";467;236;231
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";1503;1100;403
" ";" ";" ";"Državljani Republike Slovenije";76;36;40
" ";" ";" ";"Tuji državljani";1427;1064;363
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";5367;4535;832
" ";" ";" ";"Državljani Republike Slovenije";119;54;65
" ";" ";" ";"Tuji državljani";5248;4481;767
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";5092;4246;846
" ";" ";" ";"Državljani Republike Slovenije";122;73;49
" ";" ";" ";"Tuji državljani";4970;4173;797
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";4125;3457;668
" ";" ";" ";"Državljani Republike Slovenije";156;78;78
" ";" ";" ";"Tuji državljani";3969;3379;590
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";3415;2915;500
" ";" ";" ";"Državljani Republike Slovenije";133;75;58
" ";" ";" ";"Tuji državljani";3282;2840;442
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";2891;2518;373
" ";" ";" ";"Državljani Republike Slovenije";97;58;39
" ";" ";" ";"Tuji državljani";2794;2460;334
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";2185;1897;288
" ";" ";" ";"Državljani Republike Slovenije";88;62;26
" ";" ";" ";"Tuji državljani";2097;1835;262
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";1321;1136;185
" ";" ";" ";"Državljani Republike Slovenije";103;61;42
" ";" ";" ";"Tuji državljani";1218;1075;143
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";595;419;176
" ";" ";" ";"Državljani Republike Slovenije";134;58;76
" ";" ";" ";"Tuji državljani";461;361;100
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";349;218;131
" ";" ";" ";"Državljani Republike Slovenije";150;92;58
" ";" ";" ";"Tuji državljani";199;126;73
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";233;152;81
" ";" ";" ";"Državljani Republike Slovenije";97;68;29
" ";" ";" ";"Tuji državljani";136;84;52
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";131;57;74
" ";" ";" ";"Državljani Republike Slovenije";38;20;18
" ";" ";" ";"Tuji državljani";93;37;56
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";71;32;39
" ";" ";" ";"Državljani Republike Slovenije";17;6;11
" ";" ";" ";"Tuji državljani";54;26;28
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";38;16;22
" ";" ";" ";"Državljani Republike Slovenije";11;4;7
" ";" ";" ";"Tuji državljani";27;12;15
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";30;13;17
" ";" ";" ";"Državljani Republike Slovenije";7;4;3
" ";" ";" ";"Tuji državljani";23;9;14
" ";"2008"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";30693;23815;6878
" ";" ";" ";"Državljani Republike Slovenije";2631;1515;1116
" ";" ";" ";"Tuji državljani";28062;22300;5762
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";1442;753;689
" ";" ";" ";"Državljani Republike Slovenije";554;290;264
" ";" ";" ";"Tuji državljani";888;463;425
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";687;363;324
" ";" ";" ";"Državljani Republike Slovenije";103;63;40
" ";" ";" ";"Tuji državljani";584;300;284
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";629;346;283
" ";" ";" ";"Državljani Republike Slovenije";69;34;35
" ";" ";" ";"Tuji državljani";560;312;248
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";1253;809;444
" ";" ";" ";"Državljani Republike Slovenije";116;59;57
" ";" ";" ";"Tuji državljani";1137;750;387
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";5014;4134;880
" ";" ";" ";"Državljani Republike Slovenije";145;90;55
" ";" ";" ";"Tuji državljani";4869;4044;825
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";5362;4348;1014
" ";" ";" ";"Državljani Republike Slovenije";202;116;86
" ";" ";" ";"Tuji državljani";5160;4232;928
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";4196;3354;842
" ";" ";" ";"Državljani Republike Slovenije";256;152;104
" ";" ";" ";"Tuji državljani";3940;3202;738
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";3551;2940;611
" ";" ";" ";"Državljani Republike Slovenije";175;111;64
" ";" ";" ";"Tuji državljani";3376;2829;547
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";3056;2578;478
" ";" ";" ";"Državljani Republike Slovenije";169;107;62
" ";" ";" ";"Tuji državljani";2887;2471;416
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";2276;1907;369
" ";" ";" ";"Državljani Republike Slovenije";159;100;59
" ";" ";" ";"Tuji državljani";2117;1807;310
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";1335;1117;218
" ";" ";" ";"Državljani Republike Slovenije";127;83;44
" ";" ";" ";"Tuji državljani";1208;1034;174
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";719;523;196
" ";" ";" ";"Državljani Republike Slovenije";169;95;74
" ";" ";" ";"Tuji državljani";550;428;122
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";433;274;159
" ";" ";" ";"Državljani Republike Slovenije";129;83;46
" ";" ";" ";"Tuji državljani";304;191;113
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";314;189;125
" ";" ";" ";"Državljani Republike Slovenije";121;69;52
" ";" ";" ";"Tuji državljani";193;120;73
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";188;84;104
" ";" ";" ";"Državljani Republike Slovenije";68;32;36
" ";" ";" ";"Tuji državljani";120;52;68
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";117;55;62
" ";" ";" ";"Državljani Republike Slovenije";34;19;15
" ";" ";" ";"Tuji državljani";83;36;47
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";75;32;43
" ";" ";" ";"Državljani Republike Slovenije";20;7;13
" ";" ";" ";"Tuji državljani";55;25;30
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";46;9;37
" ";" ";" ";"Državljani Republike Slovenije";15;5;10
" ";" ";" ";"Tuji državljani";31;4;27
" ";"2009"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";30296;22973;7323
" ";" ";" ";"Državljani Republike Slovenije";2903;1657;1246
" ";" ";" ";"Tuji državljani";27393;21316;6077
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";1060;557;503
" ";" ";" ";"Državljani Republike Slovenije";397;209;188
" ";" ";" ";"Tuji državljani";663;348;315
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";752;403;349
" ";" ";" ";"Državljani Republike Slovenije";109;52;57
" ";" ";" ";"Tuji državljani";643;351;292
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";675;349;326
" ";" ";" ";"Državljani Republike Slovenije";91;40;51
" ";" ";" ";"Tuji državljani";584;309;275
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";1190;762;428
" ";" ";" ";"Državljani Republike Slovenije";123;64;59
" ";" ";" ";"Tuji državljani";1067;698;369
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";5119;3946;1173
" ";" ";" ";"Državljani Republike Slovenije";207;115;92
" ";" ";" ";"Tuji državljani";4912;3831;1081
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";5550;4402;1148
" ";" ";" ";"Državljani Republike Slovenije";219;137;82
" ";" ";" ";"Tuji državljani";5331;4265;1066
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";4340;3408;932
" ";" ";" ";"Državljani Republike Slovenije";274;157;117
" ";" ";" ";"Tuji državljani";4066;3251;815
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";3394;2700;694
" ";" ";" ";"Državljani Republike Slovenije";222;129;93
" ";" ";" ";"Tuji državljani";3172;2571;601
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";2954;2456;498
" ";" ";" ";"Državljani Republike Slovenije";218;146;72
" ";" ";" ";"Tuji državljani";2736;2310;426
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";2230;1861;369
" ";" ";" ";"Državljani Republike Slovenije";165;111;54
" ";" ";" ";"Tuji državljani";2065;1750;315
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";1360;1102;258
" ";" ";" ";"Državljani Republike Slovenije";180;112;68
" ";" ";" ";"Tuji državljani";1180;990;190
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";674;483;191
